created,text,retweetCount
2017-06-29 05:01:24,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:01:23,"More Than Seven Months After Demonetisation, The RBI Has Started Printing ₹200 Notes: Report https://t.co/8A6mmWdlzR",0
2017-06-29 05:01:23,"""we don't want others to think poorly of us as a nation"" - yeah that might be it but not all of it! https://t.co/JFQLvlSR8E via @dailyo_",0
2017-06-29 04:59:51,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/SHO8gaxG9S",23
2017-06-29 04:57:44,RT @payami_: Demonetisation has hardly effected the Kashmir valley and the situation is from bad to worse. Sanghis only fooled them self. h…,8
2017-06-29 04:57:20,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 04:57:03,RT @payami_: Demonetisation has hardly effected the Kashmir valley and the situation is from bad to worse. Sanghis only fooled them self. h…,8
2017-06-29 04:56:35,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
2017-06-29 04:55:14,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:55:04,Agriculture finance: When lending stops – The Indian Express https://t.co/7XYa2WyzaF,0
2017-06-29 04:54:28,RT @SwachhPolitics: Demonetisation: How PM Modi's 'surgical strike' on black money turned out to be a disaster https://t.co/oMiooODD4X via…,4
2017-06-29 04:52:47,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 04:52:36,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 04:51:15,"Demonetisation: ""What India has done is commit a massive theft of people's property - Steve Forbes https://t.co/We0sQnxUZF",0
2017-06-29 04:49:54,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 04:49:53,Demonetisation: “What India has done is commit a massive theft of people’s property – a shocking move for a... https://t.co/17U25nTvIg,0
2017-06-29 04:49:43,"RT @IMMugdhaSingh: They are printing Rs 200 notes, and I have a feeling that, this time, they'll invalidate our 100 rupee note. #DeMonetisa…",5
